76.0,75.0,72.0,71.0,70.0,69.0,68.0,66.0,64.0,61.0,58.0,60.0,56.0,53.0,50.0,47.0,44.0,41.0,39.0,36.0,34.0,30.0,27.0,24.0,22.0,21.0,18.0,21.0,23.0,21.0,23.0,24.0,26.0,99.0,96.0,94.0,93.0,92.0,91.0,88.0,87.0,85.0,84.0,83.0,82.0,82.0,81.0,81.0,80.0,77.0,75.0,74.0,72.0,69.0,67.0,66.0,64.0,63.0,61.0,60.0,58.0,57.0,57.0,53.0,55.0,54.0,52.0,49.0,47.0,44.0,43.0,43.0,40.0,37.0,38.0,37.0,35.0,34.0,35.0,35.0,35.0,33.0,31.0,30.0,29.0,26.0,25.0,23.0,21.0,19.0,18.0,16.0,14.0,11.0,10.0,8.0,7.0,6.0,4.0,3.0,0.0,2.0,4.0,7.0,9.0,10.0,63.0,62.0,61.0,60.0,57.0,55.0,54.0,52.0,51.0,49.0,48.0,46.0,45.0,44.0,43.0,41.0,39.0,37.0,35.0,32.0,31.0,28.0,30.0,29.0,28.0,26.0,27.0,27.0,25.0,27.0
78.0,77.0,74.0,73.0,72.0,71.0,70.0,68.0,66.0,63.0,60.0,62.0,58.0,55.0,52.0,49.0,46.0,43.0,41.0,38.0,36.0,32.0,29.0,26.0,24.0,23.0,20.0,23.0,25.0,23.0,25.0,26.0,24.0,97.0,94.0,92.0,91.0,90.0,89.0,86.0,85.0,83.0,82.0,81.0,80.0,80.0,79.0,79.0,78.0,75.0,73.0,72.0,70.0,67.0,65.0,64.0,62.0,61.0,59.0,58.0,56.0,55.0,55.0,51.0,53.0,52.0,50.0,47.0,45.0,42.0,41.0,41.0,38.0,35.0,36.0,35.0,33.0,32.0,33.0,33.0,37.0,35.0,33.0,32.0,31.0,28.0,27.0,25.0,23.0,21.0,20.0,18.0,16.0,13.0,12.0,10.0,9.0,8.0,6.0,5.0,2.0,0.0,2.0,5.0,7.0,8.0,65.0,64.0,63.0,62.0,59.0,57.0,56.0,54.0,53.0,51.0,50.0,48.0,47.0,46.0,45.0,43.0,41.0,39.0,37.0,34.0,33.0,30.0,28.0,27.0,26.0,24.0,25.0,25.0,23.0,25.0
80.0,79.0,76.0,75.0,74.0,73.0,72.0,70.0,68.0,65.0,62.0,64.0,60.0,57.0,54.0,51.0,48.0,45.0,43.0,40.0,38.0,34.0,31.0,28.0,26.0,25.0,22.0,25.0,27.0,25.0,27.0,28.0,26.0,99.0,96.0,94.0,93.0,92.0,91.0,88.0,87.0,85.0,84.0,83.0,82.0,82.0,81.0,81.0,80.0,77.0,75.0,74.0,72.0,69.0,67.0,66.0,64.0,63.0,61.0,60.0,58.0,57.0,57.0,53.0,55.0,54.0,52.0,49.0,47.0,44.0,43.0,43.0,40.0,37.0,38.0,37.0,35.0,34.0,35.0,35.0,39.0,37.0,35.0,34.0,33.0,30.0,29.0,27.0,25.0,23.0,22.0,20.0,18.0,15.0,14.0,12.0,11.0,10.0,8.0,7.0,4.0,2.0,0.0,3.0,5.0,6.0,67.0,66.0,65.0,64.0,61.0,59.0,58.0,56.0,55.0,53.0,52.0,50.0,49.0,48.0,47.0,45.0,43.0,41.0,39.0,36.0,35.0,32.0,30.0,29.0,28.0,26.0,27.0,27.0,25.0,27.0
83.0,82.0,79.0,78.0,77.0,76.0,75.0,73.0,71.0,68.0,65.0,67.0,63.0,60.0,57.0,54.0,51.0,48.0,46.0,43.0,41.0,37.0,34.0,31.0,29.0,28.0,25.0,22.0,24.0,22.0,24.0,25.0,23.0,96.0,93.0,91.0,90.0,89.0,88.0,85.0,84.0,82.0,81.0,80.0,79.0,79.0,78.0,78.0,77.0,74.0,72.0,71.0,69.0,66.0,64.0,63.0,61.0,60.0,58.0,57.0,55.0,54.0,54.0,50.0,52.0,51.0,49.0,46.0,44.0,41.0,40.0,40.0,37.0,34.0,35.0,34.0,32.0,31.0,32.0,32.0,42.0,40.0,38.0,37.0,36.0,33.0,32.0,30.0,28.0,26.0,25.0,23.0,21.0,18.0,17.0,15.0,14.0,13.0,11.0,10.0,7.0,5.0,3.0,0.0,2.0,3.0,64.0,63.0,62.0,61.0,58.0,56.0,55.0,53.0,52.0,50.0,49.0,47.0,46.0,45.0,44.0,42.0,40.0,38.0,36.0,33.0,32.0,29.0,27.0,26.0,25.0,23.0,24.0,24.0,22.0,24.0
85.0,84.0,81.0,80.0,79.0,78.0,77.0,75.0,73.0,70.0,67.0,69.0,65.0,62.0,59.0,56.0,53.0,50.0,48.0,45.0,43.0,39.0,36.0,33.0,31.0,30.0,27.0,24.0,26.0,24.0,26.0,27.0,25.0,98.0,95.0,93.0,92.0,91.0,90.0,87.0,86.0,84.0,83.0,82.0,81.0,81.0,80.0,80.0,79.0,76.0,74.0,73.0,71.0,68.0,66.0,65.0,63.0,62.0,60.0,59.0,57.0,56.0,56.0,52.0,54.0,53.0,51.0,48.0,46.0,43.0,42.0,42.0,39.0,36.0,37.0,36.0,34.0,33.0,34.0,34.0,44.0,42.0,40.0,39.0,38.0,35.0,34.0,32.0,30.0,28.0,27.0,25.0,23.0,20.0,19.0,17.0,16.0,15.0,13.0,12.0,9.0,7.0,5.0,2.0,0.0,1.0,66.0,65.0,64.0,63.0,60.0,58.0,57.0,55.0,54.0,52.0,51.0,49.0,48.0,47.0,46.0,44.0,42.0,40.0,38.0,35.0,34.0,31.0,29.0,28.0,27.0,25.0,26.0,26.0,24.0,26.0
84.0,83.0,80.0,79.0,78.0,77.0,76.0,74.0,72.0,69.0,66.0,68.0,64.0,61.0,58.0,55.0,52.0,49.0,47.0,44.0,42.0,38.0,35.0,32.0,30.0,29.0,26.0,23.0,25.0,23.0,25.0,26.0,24.0,99.0,96.0,94.0,93.0,92.0,91.0,88.0,87.0,85.0,84.0,83.0,82.0,82.0,81.0,81.0,80.0,77.0,75.0,74.0,72.0,69.0,67.0,66.0,64.0,63.0,61.0,60.0,58.0,57.0,57.0,53.0,55.0,54.0,52.0,49.0,47.0,44.0,43.0,43.0,40.0,37.0,38.0,37.0,35.0,34.0,33.0,33.0,45.0,43.0,41.0,40.0,39.0,36.0,35.0,33.0,31.0,29.0,28.0,26.0,24.0,21.0,20.0,18.0,17.0,16.0,14.0,13.0,10.0,8.0,6.0,3.0,1.0,0.0,67.0,66.0,65.0,64.0,61.0,59.0,58.0,56.0,55.0,53.0,52.0,50.0,49.0,48.0,47.0,45.0,43.0,41.0,39.0,36.0,35.0,32.0,30.0,29.0,28.0,26.0,25.0,25.0,23.0,25.0
101.0,100.0,97.0,96.0,95.0,94.0,93.0,91.0,89.0,86.0,83.0,81.0,83.0,80.0,77.0,74.0,71.0,68.0,66.0,67.0,67.0,63.0,60.0,63.0,61.0,60.0,57.0,54.0,56.0,54.0,52.0,51.0,53.0,84.0,87.0,85.0,84.0,83.0,82.0,85.0,84.0,82.0,81.0,80.0,79.0,79.0,78.0,78.0,77.0,74.0,72.0,71.0,73.0,70.0,68.0,67.0,65.0,66.0,70.0,69.0,67.0,66.0,66.0,62.0,60.0,59.0,61.0,64.0,62.0,59.0,58.0,58.0,55.0,52.0,53.0,54.0,56.0,57.0,58.0,58.0,66.0,64.0,62.0,61.0,62.0,59.0,62.0,62.0,60.0,58.0,57.0,59.0,57.0,58.0,59.0,61.0,62.0,63.0,67.0,66.0,63.0,65.0,67.0,64.0,66.0,67.0,0.0,1.0,2.0,3.0,6.0,8.0,9.0,13.0,12.0,14.0,15.0,19.0,18.0,19.0,20.0,22.0,24.0,26.0,28.0,31.0,32.0,35.0,37.0,38.0,39.0,41.0,42.0,42.0,44.0,46.0
100.0,99.0,96.0,95.0,94.0,93.0,92.0,90.0,88.0,85.0,82.0,80.0,82.0,79.0,76.0,73.0,70.0,67.0,65.0,66.0,66.0,62.0,59.0,62.0,60.0,59.0,56.0,53.0,55.0,53.0,51.0,50.0,52.0,83.0,86.0,84.0,83.0,82.0,81.0,84.0,83.0,81.0,80.0,79.0,78.0,78.0,77.0,77.0,76.0,73.0,71.0,70.0,72.0,69.0,67.0,66.0,64.0,65.0,69.0,68.0,66.0,65.0,65.0,61.0,59.0,58.0,60.0,63.0,61.0,58.0,57.0,57.0,54.0,51.0,52.0,53.0,55.0,56.0,57.0,57.0,65.0,63.0,61.0,60.0,61.0,58.0,61.0,61.0,59.0,57.0,56.0,58.0,56.0,57.0,58.0,60.0,61.0,62.0,66.0,65.0,62.0,64.0,66.0,63.0,65.0,66.0,1.0,0.0,1.0,2.0,5.0,7.0,8.0,12.0,11.0,13.0,14.0,18.0,17.0,18.0,19.0,21.0,23.0,25.0,27.0,30.0,31.0,34.0,36.0,37.0,38.0,40.0,41.0,41.0,43.0,45.0
99.0,98.0,95.0,94.0,93.0,92.0,91.0,89.0,87.0,84.0,81.0,79.0,81.0,78.0,75.0,72.0,69.0,66.0,64.0,65.0,65.0,61.0,58.0,61.0,59.0,58.0,55.0,52.0,54.0,52.0,50.0,49.0,51.0,82.0,85.0,83.0,82.0,81.0,80.0,83.0,82.0,80.0,79.0,78.0,77.0,77.0,76.0,76.0,75.0,72.0,70.0,69.0,71.0,68.0,66.0,65.0,63.0,64.0,68.0,67.0,65.0,64.0,64.0,60.0,58.0,57.0,59.0,62.0,60.0,57.0,56.0,56.0,53.0,50.0,51.0,52.0,54.0,55.0,56.0,56.0,64.0,62.0,60.0,59.0,60.0,57.0,60.0,60.0,58.0,56.0,55.0,57.0,55.0,56.0,57.0,59.0,60.0,61.0,65.0,64.0,61.0,63.0,65.0,62.0,64.0,65.0,2.0,1.0,0.0,1.0,4.0,6.0,7.0,11.0,10.0,12.0,13.0,17.0,16.0,17.0,18.0,20.0,22.0,24.0,26.0,29.0,30.0,33.0,35.0,36.0,37.0,39.0,40.0,40.0,42.0,44.0
98.0,97.0,94.0,93.0,92.0,91.0,90.0,88.0,86.0,83.0,80.0,78.0,80.0,77.0,74.0,71.0,68.0,65.0,63.0,64.0,64.0,60.0,57.0,60.0,58.0,57.0,54.0,51.0,53.0,51.0,49.0,48.0,50.0,81.0,84.0,82.0,81.0,80.0,79.0,82.0,81.0,79.0,78.0,77.0,76.0,76.0,75.0,75.0,74.0,71.0,69.0,68.0,70.0,67.0,65.0,64.0,62.0,63.0,67.0,66.0,64.0,63.0,63.0,59.0,57.0,56.0,58.0,61.0,59.0,56.0,55.0,55.0,52.0,49.0,50.0,51.0,53.0,54.0,55.0,55.0,63.0,61.0,59.0,58.0,59.0,56.0,59.0,59.0,57.0,55.0,54.0,56.0,54.0,55.0,56.0,58.0,59.0,60.0,64.0,63.0,60.0,62.0,64.0,61.0,63.0,64.0,3.0,2.0,1.0,0.0,3.0,5.0,6.0,10.0,9.0,11.0,12.0,16.0,15.0,16.0,17.0,19.0,21.0,23.0,25.0,28.0,29.0,32.0,34.0,35.0,36.0,38.0,39.0,39.0,41.0,43.0
101.0,100.0,97.0,96.0,95.0,94.0,93.0,91.0,89.0,86.0,83.0,81.0,83.0,80.0,77.0,74.0,71.0,68.0,66.0,67.0,67.0,63.0,60.0,57.0,55.0,54.0,51.0,48.0,50.0,48.0,46.0,45.0,47.0,84.0,81.0,79.0,78.0,77.0,76.0,79.0,78.0,76.0,75.0,74.0,73.0,73.0,72.0,72.0,71.0,68.0,66.0,65.0,67.0,64.0,62.0,61.0,59.0,60.0,64.0,63.0,61.0,60.0,60.0,56.0,54.0,53.0,55.0,58.0,56.0,53.0,52.0,52.0,49.0,46.0,47.0,48.0,50.0,51.0,52.0,52.0,60.0,58.0,56.0,55.0,56.0,53.0,56.0,56.0,54.0,52.0,51.0,53.0,51.0,52.0,53.0,55.0,56.0,57.0,61.0,60.0,57.0,59.0,61.0,58.0,60.0,61.0,6.0,5.0,4.0,3.0,0.0,2.0,3.0,7.0,6.0,8.0,9.0,13.0,12.0,13.0,14.0,16.0,18.0,20.0,22.0,25.0,26.0,29.0,31.0,32.0,33.0,35.0,36.0,36.0,38.0,40.0
99.0,98.0,95.0,94.0,93.0,92.0,91.0,89.0,87.0,84.0,81.0,79.0,81.0,78.0,75.0,72.0,69.0,66.0,64.0,65.0,65.0,61.0,58.0,55.0,53.0,52.0,49.0,46.0,48.0,46.0,44.0,43.0,45.0,82.0,79.0,77.0,76.0,75.0,74.0,77.0,76.0,74.0,73.0,72.0,71.0,71.0,70.0,70.0,69.0,66.0,64.0,63.0,65.0,62.0,60.0,59.0,57.0,58.0,62.0,61.0,59.0,58.0,58.0,54.0,52.0,51.0,53.0,56.0,54.0,51.0,50.0,50.0,47.0,44.0,45.0,46.0,48.0,49.0,50.0,50.0,62.0,60.0,58.0,57.0,58.0,55.0,58.0,58.0,56.0,54.0,53.0,51.0,49.0,50.0,51.0,53.0,54.0,55.0,59.0,58.0,55.0,57.0,59.0,56.0,58.0,59.0,8.0,7.0,6.0,5.0,2.0,0.0,1.0,5.0,4.0,6.0,7.0,11.0,10.0,11.0,12.0,14.0,16.0,18.0,20.0,23.0,24.0,27.0,29.0,30.0,31.0,33.0,34.0,34.0,36.0,38.0
100.0,99.0,96.0,95.0,94.0,93.0,92.0,90.0,88.0,85.0,82.0,80.0,82.0,79.0,76.0,73.0,70.0,67.0,65.0,66.0,64.0,60.0,57.0,54.0,52.0,51.0,48.0,45.0,47.0,45.0,43.0,42.0,44.0,83.0,80.0,78.0,77.0,76.0,75.0,78.0,77.0,75.0,74.0,73.0,72.0,72.0,71.0,71.0,70.0,67.0,65.0,64.0,66.0,63.0,61.0,60.0,58.0,57.0,61.0,60.0,58.0,57.0,57.0,53.0,51.0,50.0,52.0,55.0,53.0,50.0,49.0,49.0,46.0,43.0,44.0,45.0,47.0,48.0,49.0,49.0,63.0,61.0,59.0,58.0,59.0,56.0,59.0,59.0,57.0,55.0,54.0,52.0,50.0,51.0,52.0,54.0,53.0,54.0,58.0,57.0,54.0,56.0,58.0,55.0,57.0,58.0,9.0,8.0,7.0,6.0,3.0,1.0,0.0,4.0,3.0,5.0,6.0,10.0,9.0,10.0,11.0,13.0,15.0,17.0,19.0,22.0,23.0,26.0,28.0,29.0,30.0,32.0,33.0,33.0,35.0,37.0
100.0,99.0,96.0,95.0,94.0,93.0,92.0,90.0,88.0,85.0,82.0,80.0,82.0,79.0,76.0,73.0,70.0,67.0,65.0,62.0,62.0,58.0,55.0,52.0,50.0,49.0,46.0,43.0,45.0,43.0,41.0,40.0,42.0,87.0,84.0,82.0,81.0,80.0,79.0,82.0,81.0,79.0,78.0,77.0,76.0,76.0,75.0,75.0,74.0,71.0,69.0,68.0,70.0,67.0,65.0,64.0,62.0,61.0,57.0,58.0,56.0,55.0,55.0,51.0,49.0,48.0,50.0,53.0,51.0,48.0,47.0,47.0,44.0,41.0,42.0,43.0,45.0,46.0,47.0,47.0,67.0,65.0,63.0,62.0,63.0,60.0,63.0,63.0,61.0,59.0,58.0,56.0,54.0,55.0,56.0,58.0,57.0,58.0,54.0,55.0,52.0,54.0,56.0,53.0,55.0,56.0,13.0,12.0,11.0,10.0,7.0,5.0,4.0,0.0,1.0,3.0,4.0,8.0,7.0,8.0,9.0,11.0,13.0,15.0,17.0,20.0,21.0,24.0,26.0,27.0,28.0,30.0,31.0,31.0,33.0,35.0
101.0,100.0,97.0,96.0,95.0,94.0,93.0,91.0,89.0,86.0,83.0,81.0,83.0,80.0,77.0,74.0,71.0,68.0,66.0,63.0,61.0,57.0,54.0,51.0,49.0,48.0,45.0,42.0,44.0,42.0,40.0,39.0,41.0,86.0,83.0,81.0,80.0,79.0,78.0,81.0,80.0,78.0,77.0,76.0,75.0,75.0,74.0,74.0,73.0,70.0,68.0,67.0,69.0,66.0,64.0,63.0,61.0,60.0,58.0,57.0,55.0,54.0,54.0,50.0,48.0,47.0,49.0,52.0,50.0,47.0,46.0,46.0,43.0,40.0,41.0,42.0,44.0,45.0,46.0,46.0,66.0,64.0,62.0,61.0,62.0,59.0,62.0,62.0,60.0,58.0,57.0,55.0,53.0,54.0,55.0,57.0,56.0,57.0,55.0,54.0,51.0,53.0,55.0,52.0,54.0,55.0,12.0,11.0,10.0,9.0,6.0,4.0,3.0,1.0,0.0,2.0,3.0,7.0,6.0,7.0,8.0,10.0,12.0,14.0,16.0,19.0,20.0,23.0,25.0,26.0,27.0,29.0,30.0,30.0,32.0,34.0
99.0,98.0,95.0,94.0,93.0,92.0,91.0,89.0,87.0,84.0,81.0,79.0,81.0,78.0,75.0,72.0,69.0,66.0,64.0,61.0,59.0,55.0,52.0,49.0,47.0,46.0,43.0,40.0,42.0,40.0,38.0,37.0,39.0,88.0,85.0,83.0,82.0,81.0,80.0,83.0,82.0,80.0,79.0,78.0,77.0,77.0,76.0,76.0,75.0,72.0,70.0,69.0,67.0,64.0,62.0,61.0,59.0,58.0,56.0,55.0,53.0,52.0,52.0,48.0,46.0,45.0,47.0,50.0,48.0,45.0,44.0,44.0,41.0,38.0,39.0,40.0,42.0,43.0,44.0,44.0,64.0,62.0,60.0,59.0,60.0,57.0,60.0,60.0,58.0,56.0,55.0,53.0,51.0,52.0,53.0,55.0,54.0,55.0,53.0,52.0,49.0,51.0,53.0,50.0,52.0,53.0,14.0,13.0,12.0,11.0,8.0,6.0,5.0,3.0,2.0,0.0,1.0,5.0,4.0,5.0,6.0,8.0,10.0,12.0,14.0,17.0,18.0,21.0,23.0,24.0,25.0,27.0,28.0,28.0,30.0,32.0
98.0,97.0,94.0,93.0,92.0,91.0,90.0,88.0,86.0,83.0,80.0,78.0,80.0,77.0,74.0,71.0,68.0,65.0,63.0,60.0,58.0,54.0,51.0,48.0,46.0,45.0,42.0,39.0,41.0,39.0,37.0,36.0,38.0,87.0,84.0,82.0,81.0,80.0,79.0,82.0,81.0,79.0,78.0,77.0,76.0,76.0,75.0,75.0,74.0,71.0,69.0,68.0,66.0,63.0,61.0,60.0,58.0,57.0,55.0,54.0,52.0,51.0,51.0,47.0,45.0,44.0,46.0,49.0,47.0,44.0,43.0,43.0,40.0,37.0,38.0,39.0,41.0,42.0,43.0,43.0,63.0,61.0,59.0,58.0,59.0,56.0,59.0,59.0,57.0,55.0,54.0,52.0,50.0,51.0,52.0,54.0,53.0,54.0,52.0,51.0,48.0,50.0,52.0,49.0,51.0,52.0,15.0,14.0,13.0,12.0,9.0,7.0,6.0,4.0,3.0,1.0,0.0,4.0,3.0,4.0,5.0,7.0,9.0,11.0,13.0,16.0,17.0,20.0,22.0,23.0,24.0,26.0,27.0,27.0,29.0,31.0
96.0,95.0,92.0,91.0,90.0,89.0,88.0,86.0,84.0,81.0,78.0,76.0,78.0,75.0,72.0,69.0,66.0,63.0,61.0,58.0,56.0,52.0,49.0,46.0,44.0,43.0,40.0,37.0,39.0,37.0,35.0,34.0,36.0,85.0,82.0,80.0,79.0,78.0,77.0,80.0,79.0,77.0,76.0,75.0,74.0,74.0,73.0,73.0,72.0,69.0,67.0,66.0,64.0,61.0,59.0,58.0,56.0,55.0,53.0,52.0,50.0,49.0,49.0,45.0,43.0,42.0,44.0,47.0,45.0,42.0,41.0,41.0,38.0,35.0,36.0,37.0,39.0,40.0,41.0,41.0,61.0,59.0,57.0,56.0,57.0,54.0,57.0,57.0,55.0,53.0,52.0,50.0,48.0,49.0,50.0,52.0,51.0,52.0,50.0,49.0,46.0,48.0,50.0,47.0,49.0,50.0,19.0,18.0,17.0,16.0,13.0,11.0,10.0,8.0,7.0,5.0,4.0,0.0,1.0,2.0,3.0,5.0,7.0,9.0,11.0,14.0,15.0,18.0,20.0,21.0,22.0,24.0,25.0,25.0,27.0,29.0
95.0,94.0,91.0,90.0,89.0,88.0,87.0,85.0,83.0,80.0,77.0,75.0,77.0,74.0,71.0,68.0,65.0,62.0,60.0,57.0,55.0,51.0,48.0,45.0,43.0,42.0,39.0,36.0,38.0,36.0,34.0,33.0,35.0,84.0,81.0,79.0,78.0,77.0,76.0,79.0,78.0,76.0,75.0,74.0,73.0,73.0,72.0,72.0,71.0,68.0,66.0,65.0,63.0,60.0,58.0,57.0,55.0,54.0,52.0,51.0,49.0,48.0,48.0,44.0,42.0,41.0,43.0,46.0,44.0,41.0,40.0,40.0,37.0,34.0,35.0,36.0,38.0,39.0,40.0,40.0,60.0,58.0,56.0,55.0,56.0,53.0,56.0,56.0,54.0,52.0,51.0,49.0,47.0,48.0,49.0,51.0,50.0,51.0,49.0,48.0,45.0,47.0,49.0,46.0,48.0,49.0,18.0,17.0,16.0,15.0,12.0,10.0,9.0,7.0,6.0,4.0,3.0,1.0,0.0,1.0,2.0,4.0,6.0,8.0,10.0,13.0,14.0,17.0,19.0,20.0,21.0,23.0,24.0,24.0,26.0,28.0
94.0,93.0,90.0,89.0,88.0,87.0,86.0,84.0,82.0,79.0,76.0,74.0,76.0,73.0,70.0,67.0,64.0,61.0,59.0,56.0,54.0,50.0,47.0,44.0,42.0,41.0,38.0,35.0,37.0,35.0,33.0,32.0,34.0,83.0,80.0,78.0,77.0,76.0,75.0,78.0,77.0,75.0,74.0,73.0,72.0,72.0,71.0,71.0,70.0,67.0,65.0,64.0,62.0,59.0,57.0,56.0,54.0,53.0,51.0,50.0,48.0,47.0,47.0,43.0,41.0,40.0,42.0,45.0,43.0,40.0,39.0,39.0,36.0,33.0,34.0,35.0,37.0,38.0,39.0,39.0,59.0,57.0,55.0,54.0,55.0,52.0,55.0,55.0,53.0,51.0,50.0,48.0,46.0,47.0,48.0,50.0,49.0,50.0,48.0,47.0,44.0,46.0,48.0,45.0,47.0,48.0,19.0,18.0,17.0,16.0,13.0,11.0,10.0,8.0,7.0,5.0,4.0,2.0,1.0,0.0,1.0,3.0,5.0,7.0,9.0,12.0,13.0,16.0,18.0,19.0,20.0,22.0,23.0,23.0,25.0,27.0
93.0,92.0,89.0,88.0,87.0,86.0,85.0,83.0,81.0,78.0,75.0,73.0,75.0,72.0,69.0,66.0,63.0,60.0,58.0,55.0,53.0,49.0,46.0,43.0,41.0,40.0,37.0,34.0,36.0,34.0,32.0,31.0,33.0,82.0,79.0,77.0,76.0,75.0,74.0,77.0,76.0,74.0,73.0,72.0,71.0,71.0,70.0,70.0,69.0,66.0,64.0,63.0,61.0,58.0,56.0,55.0,53.0,52.0,50.0,49.0,47.0,46.0,46.0,42.0,40.0,39.0,41.0,44.0,42.0,39.0,38.0,38.0,35.0,32.0,33.0,34.0,36.0,37.0,38.0,38.0,58.0,56.0,54.0,53.0,54.0,51.0,54.0,54.0,52.0,50.0,49.0,47.0,45.0,46.0,47.0,49.0,48.0,49.0,47.0,46.0,43.0,45.0,47.0,44.0,46.0,47.0,20.0,19.0,18.0,17.0,14.0,12.0,11.0,9.0,8.0,6.0,5.0,3.0,2.0,1.0,0.0,2.0,4.0,6.0,8.0,11.0,12.0,15.0,17.0,18.0,19.0,21.0,22.0,22.0,24.0,26.0
91.0,90.0,87.0,86.0,85.0,84.0,83.0,81.0,79.0,76.0,73.0,71.0,73.0,70.0,67.0,64.0,61.0,58.0,56.0,53.0,51.0,47.0,44.0,41.0,39.0,38.0,35.0,32.0,34.0,32.0,30.0,29.0,31.0,80.0,77.0,75.0,74.0,73.0,72.0,75.0,74.0,72.0,71.0,70.0,69.0,69.0,68.0,68.0,67.0,64.0,62.0,61.0,59.0,56.0,54.0,53.0,51.0,50.0,48.0,47.0,45.0,44.0,44.0,40.0,38.0,37.0,39.0,42.0,40.0,37.0,36.0,36.0,33.0,30.0,31.0,32.0,34.0,35.0,36.0,36.0,56.0,54.0,52.0,51.0,52.0,49.0,52.0,52.0,50.0,48.0,47.0,45.0,43.0,44.0,45.0,47.0,46.0,47.0,45.0,44.0,41.0,43.0,45.0,42.0,44.0,45.0,22.0,21.0,20.0,19.0,16.0,14.0,13.0,11.0,10.0,8.0,7.0,5.0,4.0,3.0,2.0,0.0,2.0,4.0,6.0,9.0,10.0,13.0,15.0,16.0,17.0,19.0,20.0,20.0,22.0,24.0
89.0,88.0,85.0,84.0,83.0,82.0,81.0,79.0,77.0,74.0,71.0,69.0,71.0,68.0,65.0,62.0,59.0,56.0,54.0,51.0,49.0,45.0,42.0,39.0,37.0,36.0,33.0,30.0,32.0,30.0,28.0,27.0,29.0,82.0,79.0,77.0,76.0,75.0,74.0,77.0,76.0,74.0,73.0,72.0,71.0,71.0,70.0,70.0,69.0,66.0,64.0,63.0,61.0,58.0,56.0,55.0,53.0,52.0,50.0,49.0,47.0,46.0,46.0,42.0,40.0,39.0,41.0,40.0,38.0,35.0,34.0,34.0,31.0,28.0,29.0,30.0,32.0,33.0,34.0,34.0,58.0,56.0,54.0,53.0,54.0,51.0,54.0,54.0,52.0,50.0,49.0,47.0,45.0,42.0,43.0,45.0,44.0,45.0,43.0,42.0,39.0,41.0,43.0,40.0,42.0,43.0,24.0,23.0,22.0,21.0,18.0,16.0,15.0,13.0,12.0,10.0,9.0,7.0,6.0,5.0,4.0,2.0,0.0,2.0,4.0,7.0,8.0,11.0,13.0,14.0,15.0,17.0,18.0,18.0,20.0,22.0
91.0,90.0,87.0,86.0,85.0,84.0,83.0,81.0,79.0,76.0,73.0,71.0,69.0,66.0,63.0,60.0,57.0,54.0,52.0,49.0,47.0,43.0,40.0,37.0,35.0,34.0,31.0,28.0,30.0,28.0,26.0,25.0,27.0,84.0,81.0,79.0,78.0,77.0,76.0,79.0,78.0,76.0,75.0,74.0,73.0,73.0,72.0,72.0,71.0,68.0,66.0,65.0,63.0,60.0,58.0,57.0,55.0,54.0,52.0,51.0,49.0,48.0,48.0,44.0,42.0,41.0,39.0,38.0,36.0,33.0,32.0,32.0,29.0,26.0,27.0,28.0,30.0,31.0,32.0,32.0,56.0,54.0,52.0,51.0,52.0,49.0,52.0,52.0,50.0,48.0,47.0,45.0,43.0,40.0,41.0,43.0,42.0,43.0,41.0,40.0,37.0,39.0,41.0,38.0,40.0,41.0,26.0,25.0,24.0,23.0,20.0,18.0,17.0,15.0,14.0,12.0,11.0,9.0,8.0,7.0,6.0,4.0,2.0,0.0,2.0,5.0,6.0,9.0,11.0,12.0,13.0,15.0,16.0,16.0,18.0,20.0
91.0,90.0,87.0,86.0,85.0,84.0,83.0,81.0,79.0,76.0,73.0,71.0,67.0,64.0,61.0,58.0,55.0,52.0,50.0,47.0,45.0,41.0,38.0,35.0,33.0,32.0,29.0,26.0,28.0,26.0,24.0,23.0,25.0,84.0,81.0,79.0,78.0,77.0,76.0,79.0,78.0,76.0,75.0,74.0,73.0,73.0,72.0,72.0,71.0,68.0,66.0,65.0,63.0,60.0,58.0,57.0,55.0,54.0,52.0,51.0,49.0,48.0,48.0,44.0,42.0,41.0,39.0,36.0,34.0,31.0,30.0,30.0,27.0,24.0,25.0,26.0,28.0,29.0,30.0,30.0,56.0,54.0,52.0,51.0,50.0,47.0,50.0,50.0,48.0,46.0,45.0,43.0,41.0,38.0,39.0,41.0,40.0,41.0,39.0,38.0,35.0,37.0,39.0,36.0,38.0,39.0,28.0,27.0,26.0,25.0,22.0,20.0,19.0,17.0,16.0,14.0,13.0,11.0,10.0,9.0,8.0,6.0,4.0,2.0,0.0,3.0,4.0,7.0,9.0,10.0,11.0,13.0,14.0,14.0,16.0,18.0
